X,Y,OBJECTID,EVT_RT,EVT_RIN,EVT_DATE,LOCATION,RUCR,RUCR_EXT_D
-63.598510149920585,44.693355221352363,699,GO,867458,2017-07-18T00:00:00.000Z,A WINDMILL RD,2135,THEFT OF VEHICLE
-63.634702235163601,44.659855893307125,700,GO,867475,2017-07-18T00:00:00.000Z,TITUS ST,1420,ASSAULT
-63.544381141989795,44.667972710813167,701,GO,867462,2017-07-18T00:00:00.000Z,JOFFRE ST / PORTLAND ST,2142,THEFT FROM VEHICLE
-63.501690752677611,44.683911983392797,702,GO,867971,2017-07-19T00:00:00.000Z,TRILLIUM CRT,1420,ASSAULT
-63.177769936627854,44.784953968635286,703,GO,867912,2017-07-19T00:00:00.000Z,SCOTS LAKE RD,1420,ASSAULT
-63.555656039054604,44.684621234327771,704,GO,867788,2017-07-19T00:00:00.000Z,BROOKDALE CRT,2142,THEFT FROM VEHICLE
-63.587273947786649,44.67635948547796,705,GO,867740,2017-07-19T00:00:00.000Z,WYSE RD,2135,THEFT OF VEHICLE
-63.570046773225087,44.684191042636172,706,GO,868111,2017-07-19T00:00:00.000Z,KINGSTON CRES,2142,THEFT FROM VEHICLE
-63.627859996714868,44.655025887221178,707,GO,868042,2017-07-19T00:00:00.000Z,BAYERS RD,2142,THEFT FROM VEHICLE
-63.649929590121125,44.664636120057295,708,GO,868012,2017-07-19T00:00:00.000Z,BRAEMOUNT DR,2142,THEFT FROM VEHICLE
-63.660824993894153,44.7596458901075,709,GO,867968,2017-07-19T00:00:00.000Z,MALIK CRT,1430,ASSAULT
-63.627859996714868,44.655025887221178,710,GO,867954,2017-07-19T00:00:00.000Z,DESMOND AVE,2132,THEFT FROM VEHICLE
-63.583533966611448,44.679960834836059,711,GO,867937,2017-07-19T00:00:00.000Z,ALBRO LAKE RD,1430,ASSAULT
-63.536291893704664,44.500214955628721,712,GO,867894,2017-07-19T00:00:00.000Z,CHEBUCTO HEAD RD / DUNCANS COVE RD,2142,THEFT FROM VEHICLE
-63.629161741799827,44.656295837518677,713,GO,867885,2017-07-19T00:00:00.000Z,SCOT ST,2142,THEFT FROM VEHICLE
-63.382530884037593,44.976486887558323,714,GO,867869,2017-07-19T00:00:00.000Z,ANTRIM RD,2135,THEFT OF VEHICLE
-63.487798948205807,44.653927884459229,715,GO,867754,2017-07-19T00:00:00.000Z,MORRIS LAKE DR,2132,THEFT FROM VEHICLE
-63.577827990995914,44.640746151793522,716,GO,867715,2017-07-19T00:00:00.000Z,SOUTH PARK ST,2120,BREAK AND ENTER
-63.671660023693562,44.709265420924787,717,GO,867880,2017-07-19T00:00:00.000Z,GLENMONT AVE,2142,THEFT FROM VEHICLE
-63.469205619353417,44.614283077926792,718,GO,867751,2017-07-19T00:00:00.000Z,COW BAY RD,2135,THEFT OF VEHICLE
-63.561020118567939,44.685082872396208,719,GO,867735,2017-07-19T00:00:00.000Z,MICMAC BLVD,2142,THEFT FROM VEHICLE
-62.492251250221756,44.962316681892212,720,GO,867814,2017-07-19T00:00:00.000Z,HIGHWAY 374,2142,THEFT FROM VEHICLE
-63.560429469980434,44.686274489512812,721,GO,867806,2017-07-19T00:00:00.000Z,MICMAC BLVD,1420,ASSAULT
-63.554437352200814,44.684945414120499,722,GO,867800,2017-07-19T00:00:00.000Z,BROOKDALE CRT,2142,THEFT FROM VEHICLE
-63.583811062740622,44.691214727828758,723,GO,867734,2017-07-19T00:00:00.000Z,HIGHFIELD PARK DR,2142,THEFT FROM VEHICLE
-63.619505808302996,44.648586808593898,724,GO,867958,2017-07-19T00:00:00.000Z,MUMFORD RD,2142,THEFT FROM VEHICLE
-63.611557885673321,44.654138684709352,725,GO,867913,2017-07-19T00:00:00.000Z,BAYERS RD,2120,BREAK AND ENTER
-63.670106659599199,44.778278085701487,726,GO,868191,2017-07-20T00:00:00.000Z,FIRST LAKE DR,1420,ASSAULT
-63.574964812250407,44.679656717003724,727,GO,868169,2017-07-20T00:00:00.000Z,BIRCHWOOD TERR,2120,BREAK AND ENTER
-63.58762076216501,44.690717282433447,728,GO,868164,2017-07-20T00:00:00.000Z,HIGHFIELD PARK DR,1430,ASSAULT
-63.550779782469775,44.67043716461508,729,GO,868136,2017-07-20T00:00:00.000Z,LAKEFRONT RD,1430,ASSAULT
-63.629908932605375,44.660637900823964,730,GO,868131,2017-07-20T00:00:00.000Z,ALMA CRES,2120,BREAK AND ENTER
